data_abrigo;tbs;ur;tgn;tpo
10/16/2016 00:6:9;22274;66062;26769;15652
10/16/2016 00:21:9;22250;66347;26695;15696
10/16/2016 00:36:9;22178;66565;26695;15679
10/16/2016 00:51:9;22106;66927;26598;15696
10/16/2016 01:6:9;22058;67292;26573;15735
10/16/2016 01:21:9;22034;67689;26524;15805
10/16/2016 01:36:9;22011;67827;26573;15814
10/16/2016 01:51:9;21987;68052;26524;15843
10/16/2016 02:6:9;21939;68385;26524;15874
10/16/2016 02:21:9;21915;68722;26475;15928
10/16/2016 02:36:9;21891;69057;26524;15981
10/16/2016 02:51:9;21891;69284;26524;16032
10/16/2016 03:6:9;21795;69295;26402;15944
10/16/2016 03:21:9;21700;69419;26280;15880
10/16/2016 03:36:9;21652;69692;26256;15896
10/16/2016 03:51:9;21604;69936;26207;15905
10/16/2016 04:6:9;21604;70245;26256;15974
10/16/2016 04:21:9;21604;70441;26231;16018
10/16/2016 04:36:9;21509;70480;26256;15935
10/16/2016 04:51:9;21461;70527;26158;15899
10/16/2016 05:6:9;21390;70681;26207;15865
10/16/2016 05:21:9;21318;70891;26182;15843
10/16/2016 05:36:9;21294;71054;26109;15856
10/16/2016 05:51:9;21437;72080;26182;16218
10/16/2016 06:6:9;21581;71580;26256;16247
10/16/2016 06:21:9;21604;71390;26207;16228
10/16/2016 06:36:9;21652;71371;26231;16269
10/16/2016 06:51:9;21724;71357;26280;16335
10/16/2016 07:6:9;21772;71338;26280;16377
10/16/2016 07:21:9;21819;71458;26426;16449
10/16/2016 07:36:9;22011;71717;26500;16690
10/16/2016 07:51:9;22274;71599;26769;16917
10/16/2016 08:6:9;22561;71262;26965;17118
10/16/2016 08:21:9;22872;70788;27112;17311
10/16/2016 08:36:9;23184;69915;27161;17413
10/16/2016 08:51:9;23400;69216;27407;17461
10/16/2016 09:6:9;23713;69102;27530;17733
10/16/2016 09:21:9;24653;65712;28122;17830
10/16/2016 09:36:9;26036;59438;28941;17541
10/16/2016 09:51:9;26598;57426;29140;17520
10/16/2016 10:6:9;26916;55631;29414;17313
10/16/2016 10:21:9;27284;54833;29715;17426
10/16/2016 10:36:9;29040;59803;30874;20456
10/16/2016 10:51:9;31382;50823;32304;19993
10/16/2016 11:6:9;31919;47257;32717;19310
10/16/2016 11:21:9;32098;46978;32717;19378
10/16/2016 11:36:9;33600;40166;33783;18218
10/16/2016 11:51:9;35075;33963;34704;16857
10/16/2016 12:6:9;39403;32459;37453;19892
10/16/2016 12:21:9;40631;33074;38365;21260
10/16/2016 12:36:9;42031;26857;39065;19084
10/16/2016 12:51:9;41385;25646;38812;17803
10/16/2016 13:6:9;40171;26049;37866;17031
10/16/2016 13:21:9;39149;27506;37398;17028
10/16/2016 13:36:9;39431;29896;37535;18594
10/16/2016 13:51:9;39829;30112;37838;19049
10/16/2016 14:6:9;39886;27858;37728;17854
10/16/2016 14:21:9;38700;26804;36851;16240
10/16/2016 14:36:9;37866;28004;36335;16222
10/16/2016 14:51:9;36960;28526;35904;15740
10/16/2016 15:6:9;36579;29781;35662;16089
10/16/2016 15:21:9;36688;29277;35716;15914
10/16/2016 15:36:9;36119;29708;35155;15657
10/16/2016 15:51:9;35797;29683;35288;15366
10/16/2016 16:6:9;35368;29868;34836;15096
10/16/2016 16:21:9;34466;28739;34308;13726
10/16/2016 16:36:9;28122;47461;30217;15921
10/16/2016 16:51:9;25065;55242;28320;15481
10/16/2016 17:6:9;24171;56915;27850;15113
10/16/2016 17:21:9;23328;57713;27382;14543
10/16/2016 17:36:9;22848;59738;26989;14628
10/16/2016 17:51:9;22345;62708;26769;14908
10/16/2016 18:6:9;21891;65765;26524;15218
10/16/2016 18:21:9;21509;68904;26134;15581
10/16/2016 18:36:9;21127;70911;25987;15664
10/16/2016 18:51:9;20698;73966;25768;15912
10/16/2016 19:6:9;20365;76082;25453;16031
10/16/2016 19:21:9;19960;79653;25258;16359
10/16/2016 19:36:9;19627;80971;25137;16292
10/16/2016 19:51:9;19413;81967;25186;16275
10/16/2016 20:6:9;19389;82341;25331;16323
10/16/2016 20:21:9;19436;82149;25307;16333
10/16/2016 20:36:9;19484;81246;25186;16206
10/16/2016 20:51:9;19294;82722;25380;16303
10/16/2016 21:6:9;19222;83058;25453;16297
10/16/2016 21:21:9;18842;84266;25841;16151
10/16/2016 21:36:9;18771;84718;26109;16165
10/16/2016 21:51:9;19032;82186;25234;15945
10/16/2016 22:6:9;18818;82742;25210;15841
10/16/2016 22:21:9;18771;83156;25501;15873
10/16/2016 22:36:9;18723;83594;25744;15909
10/16/2016 22:51:9;18557;83953;25817;15813
10/16/2016 23:6:9;18438;84173;25866;15737
10/16/2016 23:21:9;18105;85397;26500;15636
10/16/2016 23:36:9;17986;86097;27063;15647
10/16/2016 23:51:9;18010;86176;27112;15685
10/17/2016 00:6:9;17867;85900;26720;15495
10/17/2016 00:21:9;17748;86186;27087;15430
10/17/2016 00:36:9;17605;86466;27161;15340
10/17/2016 00:51:9;17867;86214;27136;15552
10/17/2016 01:6:9;17701;86537;27481;15446
10/17/2016 01:21:9;17534;86953;27751;15357
10/17/2016 01:36:9;17558;87245;28023;15433
10/17/2016 01:51:9;17249;87695;28419;15209
10/17/2016 02:6:9;17296;88486;29890;15395
10/17/2016 02:21:9;17082;88833;29966;15245
10/17/2016 02:36:9;17011;89026;30469;15209
10/17/2016 02:51:9;16915;89073;30394;15123
10/17/2016 03:6:9;16773;89340;30748;15028
10/17/2016 03:21:9;16939;89707;31306;15257
10/17/2016 03:36:9;16915;89747;31510;15240
10/17/2016 03:51:9;17082;89881;31893;15428
10/17/2016 04:6:9;17153;89899;31944;15502
10/17/2016 04:21:9;17011;89863;32073;15355
10/17/2016 04:36:9;17320;89731;32587;15637
10/17/2016 04:51:9;17344;88568;30874;15457
10/17/2016 05:6:9;17153;88168;30976;15199
10/17/2016 05:21:9;17106;88440;31331;15200
10/17/2016 05:36:9;17701;87637;30192;15644
10/17/2016 05:51:9;18366;85165;26695;15851
10/17/2016 06:6:9;18818;83391;25453;15964
10/17/2016 06:21:9;19008;83559;25720;16182
10/17/2016 06:36:9;19698;80243;24726;16220
10/17/2016 06:51:9;21485;72613;26036;16380
10/17/2016 07:6:9;23016;65986;27136;16340
10/17/2016 07:21:9;25113;59022;28419;16564
10/17/2016 07:36:9;24339;59544;27899;15977
10/17/2016 07:51:9;26475;51221;29265;15605
10/17/2016 08:6:9;26695;51955;29389;16031
10/17/2016 08:21:9;27628;49332;29941;16076
10/17/2016 08:36:9;27825;47754;30192;15747
10/17/2016 08:51:9;26818;50234;29439;15616
10/17/2016 09:6:9;29140;44658;30874;15891
10/17/2016 09:21:9;30192;42957;31714;16231
10/17/2016 09:36:9;30217;43027;31663;16279
10/17/2016 09:51:9;29515;44265;31306;16091
10/17/2016 10:6:9;30318;42563;31765;16200
10/17/2016 10:21:9;29916;44411;31433;16505
10/17/2016 10:36:9;31970;38716;32768;16187
10/17/2016 10:51:9;32536;38215;33079;16484
10/17/2016 11:6:9;32355;38336;32872;16374
10/17/2016 11:21:9;30849;40502;32098;15896
10/17/2016 11:36:9;31996;37463;32794;15694
10/17/2016 11:51:9;33391;35095;33730;15900
10/17/2016 12:6:9;33105;35918;33574;16012
10/17/2016 12:21:9;32820;35467;33443;15564
10/17/2016 12:36:9;33783;32416;34019;15002
10/17/2016 12:51:9;34413;32542;34413;15609
10/17/2016 13:6:9;35102;31047;34783;15470
10/17/2016 13:21:9;34995;30639;34704;15172
10/17/2016 13:36:9;33626;32833;33835;15065
10/17/2016 13:51:9;36498;29225;35636;15724
10/17/2016 14:6:9;34863;31931;34466;15703
10/17/2016 14:21:9;32330;35280;33105;15052
10/17/2016 14:36:9;31612;36130;32484;14791
10/17/2016 14:51:9;35368;31032;35075;15693
10/17/2016 15:6:9;33783;34134;33940;15808
10/17/2016 15:21:9;33574;34472;33626;15779
10/17/2016 15:36:9;29715;42701;31204;15708
10/17/2016 15:51:9;30243;42555;31663;16129
10/17/2016 16:6:9;30419;43929;31637;16788
10/17/2016 16:21:9;28221;49179;30369;16569
10/17/2016 16:36:9;27284;51391;29740;16402
10/17/2016 16:51:9;26916;53357;29439;16653
10/17/2016 17:6:9;24823;59405;28221;16394
10/17/2016 17:21:9;23545;62874;27456;16082
10/17/2016 17:36:9;22848;66335;26965;16263
10/17/2016 17:51:9;22369;67805;26793;16151
10/17/2016 18:6:9;21891;69256;26378;16026
10/17/2016 18:21:9;21485;70755;26134;15973
10/17/2016 18:36:9;21103;72540;25963;15997
10/17/2016 18:51:9;20746;74030;25647;15971
10/17/2016 19:6:9;20365;75306;25331;15871
10/17/2016 19:21:9;20103;77224;25186;16011
10/17/2016 19:36:9;19770;79042;24944;16053
10/17/2016 19:51:9;19888;79249;25186;16209
10/17/2016 20:6:9;19960;78639;25186;16158
10/17/2016 20:21:9;19936;79051;25186;16217
10/17/2016 20:36:9;19888;79767;25210;16312
10/17/2016 20:51:9;19793;80057;25258;16276
10/17/2016 21:6:9;19722;80042;25089;16204
10/17/2016 21:21:9;19484;80863;25210;16132
10/17/2016 21:36:9;19674;80725;25283;16291
10/17/2016 21:51:9;19389;80689;25137;16005
10/17/2016 22:6:9;18842;81967;25453;15718
10/17/2016 22:21:9;19222;82405;25817;16173
10/17/2016 22:36:9;19341;81926;25574;16198
10/17/2016 22:51:9;19199;81742;25428;16023
10/17/2016 23:6:9;19199;82097;25598;16091
10/17/2016 23:21:9;19199;83352;26622;16329
10/17/2016 23:36:9;18985;84150;27456;16269
10/17/2016 23:51:9;18771;83853;26867;16004
10/18/2016 00:6:9;18675;84573;27998;16045
10/18/2016 00:21:9;18438;86107;29040;16093
10/18/2016 00:36:9;18604;86364;28742;16304
10/18/2016 00:51:9;18628;86490;28816;16350
10/18/2016 01:6:9;18699;85608;27481;16259
10/18/2016 01:21:9;18319;85520;28245;15869
10/18/2016 01:36:9;18057;86042;29040;15707
10/18/2016 01:51:9;17867;86624;30343;15626
10/18/2016 02:6:9;17772;87225;31535;15640
10/18/2016 02:21:9;17796;87326;31561;15682
10/18/2016 02:36:9;18152;87531;31970;16070
10/18/2016 02:51:9;18343;86737;30192;16114
10/18/2016 03:6:9;18176;87082;31535;16013
10/18/2016 03:21:9;18010;87377;32021;15902
10/18/2016 03:36:9;18081;87729;32639;16035
10/18/2016 03:51:9;18343;87744;32691;16295
10/18/2016 04:6:9;18414;87474;32355;16317
10/18/2016 04:21:9;18461;87438;32253;16358
10/18/2016 04:36:9;18461;87342;31996;16340
10/18/2016 04:51:9;18343;87313;32330;16218
10/18/2016 05:6:9;18295;87350;31944;16178
10/18/2016 05:21:9;18366;86983;31281;16182
10/18/2016 05:36:9;18509;86873;30697;16302
10/18/2016 05:51:9;18842;85763;29190;16428
10/18/2016 06:6:9;19698;86281;28196;17364
10/18/2016 06:21:9;21342;83684;26426;18491
10/18/2016 06:36:9;22657;77295;26622;18503
10/18/2016 06:51:9;22489;75432;26598;17951
10/18/2016 07:6:9;26109;64601;29015;18939
10/18/2016 07:21:9;27333;59482;29815;18768
10/18/2016 07:36:9;24847;65393;28270;17936
10/18/2016 07:51:9;29991;58769;31637;21063
10/18/2016 08:6:9;34071;47717;34097;21425
10/18/2016 08:21:9;35555;47121;34969;22569
10/18/2016 08:36:9;36796;42996;35931;22180
10/18/2016 08:51:9;38170;42277;36742;23133
10/18/2016 09:6:9;39346;37821;37563;22337
10/18/2016 09:21:9;41268;35887;38700;23159
10/18/2016 09:36:9;41707;34078;38840;22685
10/18/2016 09:51:9;42684;31115;39403;22031
10/18/2016 10:6:9;44411;27330;40688;21375
10/18/2016 10:21:9;46067;26958;41795;22547
10/18/2016 10:36:9;44688;24239;40862;19659
10/18/2016 10:51:9;45719;26098;41590;21722
10/18/2016 11:6:9;47385;25680;42445;22851
10/18/2016 11:21:9;33783;37461;33809;17272
10/18/2016 11:36:9;34176;35592;34097;16810
10/18/2016 11:51:9;33992;37059;34071;17287
10/18/2016 12:6:9;34202;34671;34255;16419
10/18/2016 12:21:9;30748;39700;31944;15493
10/18/2016 12:36:9;34757;32355;34519;15817
10/18/2016 12:51:9;34730;31956;34466;15600
10/18/2016 13:6:9;35422;31327;35022;15887
10/18/2016 13:21:9;33105;34358;33469;15318
10/18/2016 13:36:9;31893;35769;32665;14883
10/18/2016 13:51:9;33365;33669;33678;15229
10/18/2016 14:6:9;30444;39358;31842;15088
10/18/2016 14:21:9;29315;41059;31077;14738
10/18/2016 14:36:9;29240;41699;30900;14911
10/18/2016 14:51:9;29190;41625;30925;14839
10/18/2016 15:6:9;31306;37361;32098;15042
10/18/2016 15:21:9;31001;38376;32098;15189
10/18/2016 15:36:9;30369;41137;31740;15711
10/18/2016 15:51:9;29540;43830;31281;15959
10/18/2016 16:6:9;28816;47941;30798;16712
10/18/2016 16:21:9;27456;51671;29690;16646
10/18/2016 16:36:9;26061;58089;28916;17200
10/18/2016 16:51:9;25914;59633;28916;17478
10/18/2016 17:6:9;24581;65054;27974;17601
10/18/2016 17:21:9;23761;68682;27579;17682
10/18/2016 17:36:9;23112;70269;27210;17424
10/18/2016 17:51:9;22896;72606;27087;17736
10/18/2016 18:6:9;22369;73691;26671;17464
10/18/2016 18:21:9;21843;75708;26158;17385
10/18/2016 18:36:9;21509;77301;26085;17391
10/18/2016 18:51:9;21127;78701;25939;17305
10/18/2016 19:6:9;20913;78734;25890;17103
10/18/2016 19:21:9;20460;79396;25623;16795
10/18/2016 19:36:9;20174;79854;25598;16607
10/18/2016 19:51:9;19936;80294;25404;16462
10/18/2016 20:6:9;19888;80258;25355;16408
10/18/2016 20:21:9;19793;80494;25477;16362
10/18/2016 20:36:9;19651;80258;25162;16176
10/18/2016 20:51:9;19460;80525;25113;16043
10/18/2016 21:6:9;19413;80643;25186;16020
10/18/2016 21:21:9;19460;80371;25162;16013
10/18/2016 21:36:9;19365;80402;25113;15926
10/18/2016 21:51:9;18842;81360;25186;15601
10/18/2016 22:6:9;18509;82271;25210;15450
10/18/2016 22:21:9;18295;82900;25647;15360
10/18/2016 22:36:9;18152;83440;25939;15321
10/18/2016 22:51:9;18010;83581;25987;15208
10/18/2016 23:6:9;17962;83818;26353;15205
10/18/2016 23:21:9;17843;84087;26524;15139
10/18/2016 23:36:9;17701;84448;26989;15065
10/18/2016 23:51:9;18010;85009;27579;15472
10/19/2016 00:6:9;18343;84127;26451;15636
10/19/2016 00:21:9;18461;83585;26182;15651
10/19/2016 00:36:9;18414;83474;26061;15584
10/19/2016 00:51:9;18366;83662;26231;15572
10/19/2016 01:6:9;18485;83739;26061;15703
10/19/2016 01:21:9;18247;83486;25841;15423
10/19/2016 01:36:9;17796;84641;27014;15194
10/19/2016 01:51:9;17819;85452;27776;15366
10/19/2016 02:6:9;17819;85501;28147;15375
10/19/2016 02:21:9;17605;85451;27850;15156
10/19/2016 02:36:9;17463;86336;28965;15176
10/19/2016 02:51:9;17701;86969;29941;15524
10/19/2016 03:6:9;17796;86943;30243;15613
10/19/2016 03:21:9;17724;86831;29640;15523
10/19/2016 03:36:9;17249;86717;29140;15034
10/19/2016 03:51:9;16987;87133;29890;14851
10/19/2016 04:6:9;17106;87565;31179;15045
10/19/2016 04:21:9;17296;87943;31255;15300
10/19/2016 04:36:9;17272;88008;31128;15288
10/19/2016 04:51:9;17058;88051;31077;15084
10/19/2016 05:6:9;17082;88434;31561;15175
10/19/2016 05:21:9;17629;88708;32484;15763
10/19/2016 05:36:9;17915;88613;32717;16028
10/19/2016 05:51:9;18461;88367;32433;16524
10/19/2016 06:6:9;19103;86820;31842;16878
10/19/2016 06:21:9;20246;82783;26280;17246
10/19/2016 06:36:9;22369;75949;26012;17944
10/19/2016 06:51:9;22393;73475;26304;17441
10/19/2016 07:6:9;27382;61111;29815;19248
10/19/2016 07:21:9;29715;53098;31433;19163
10/19/2016 07:36:9;26671;56316;29389;17279
10/19/2016 07:51:9;24412;62657;27924;16847
10/19/2016 08:6:9;26965;53013;29565;16597
10/19/2016 08:21:9;25987;56311;28941;16641
10/19/2016 08:36:9;27210;51767;29715;16449
10/19/2016 08:51:9;27776;50487;29966;16575
10/19/2016 09:6:9;28568;47647;30495;16388
10/19/2016 09:21:9;29315;46148;31077;16565
10/19/2016 09:36:9;29590;45045;31128;16433
10/19/2016 09:51:9;30142;43594;31561;16417
10/19/2016 10:6:9;30900;41056;32098;16155
10/19/2016 10:21:9;31255;41471;32304;16631
10/19/2016 10:36:9;32433;39040;33131;16729
10/19/2016 10:51:9;32587;37766;33183;16344
10/19/2016 11:6:9;32536;37481;33157;16179
10/19/2016 11:21:9;33914;34858;33992;16251
10/19/2016 11:36:9;34572;33346;34492;16129
10/19/2016 11:51:9;34545;33988;34519;16406
10/19/2016 12:6:9;34757;33290;34519;16264
10/19/2016 12:21:9;36444;31339;35662;16774
10/19/2016 12:36:9;36281;31034;35502;16481
10/19/2016 12:51:9;33783;33348;33914;15444
10/19/2016 13:6:9;36525;30252;35662;16289
10/19/2016 13:21:9;34916;31936;34730;15751
10/19/2016 13:36:9;34942;32443;34492;16021
10/19/2016 13:51:9;36525;30106;35689;16213
10/19/2016 14:6:9;34413;32829;34387;15747
10/19/2016 14:21:9;32665;35982;33417;15653
10/19/2016 14:36:9;31306;38059;32150;15330
10/19/2016 14:51:9;31637;37324;32458;15320
10/19/2016 15:6:9;32047;37118;32794;15595
10/19/2016 15:21:9;32613;35942;33183;15591
10/19/2016 15:36:9;29941;42997;31459;16019
10/19/2016 15:51:9;29540;44838;31230;16316
10/19/2016 16:6:9;27456;51382;29765;16557
10/19/2016 16:21:9;26671;55314;29265;16994
10/19/2016 16:36:9;25671;59931;28692;17329
10/19/2016 16:51:9;24871;62732;28245;17299
10/19/2016 17:6:9;24315;65244;27776;17395
10/19/2016 17:21:9;23593;67935;27505;17348
10/19/2016 17:36:9;23040;70058;27112;17308
10/19/2016 17:51:9;22681;71229;27014;17225
10/19/2016 18:6:9;22345;74697;26426;17657
10/19/2016 18:21:9;21819;76751;26304;17578
10/19/2016 18:36:9;21366;78619;26036;17520
10/19/2016 18:51:9;21103;78879;25890;17317
10/19/2016 19:6:9;20746;80235;25890;17239
10/19/2016 19:21:9;20579;80329;25720;17095
10/19/2016 19:36:9;20555;81173;25914;17237
10/19/2016 19:51:9;20531;81398;26036;17258
10/19/2016 20:6:9;20531;82036;26304;17381
10/19/2016 20:21:9;20365;82709;26622;17348
10/19/2016 20:36:9;20341;82602;26426;17304
10/19/2016 20:51:9;20079;83099;26671;17143
10/19/2016 21:6:9;20055;83144;26695;17128
10/19/2016 21:21:9;19888;82981;26378;16934
10/19/2016 21:36:9;19722;83320;26500;16836
10/19/2016 21:51:9;19698;83540;26720;16854
10/19/2016 22:6:9;19365;83938;27063;16603
10/19/2016 22:21:9;18985;84471;27358;16329
10/19/2016 22:36:9;18747;85155;27949;16222
10/19/2016 22:51:9;18652;85426;28122;16179
10/19/2016 23:6:9;18652;85646;28394;16219
10/19/2016 23:21:9;18699;85901;28816;16313
10/19/2016 23:36:9;18889;85799;28742;16481
10/19/2016 23:51:9;19032;84901;27554;16456
10/20/2016 00:6:9;19008;84748;27382;16404
10/20/2016 00:21:9;18771;84988;27604;16215
10/20/2016 00:36:9;18747;85497;28221;16285
10/20/2016 00:51:9;18366;86138;28841;16029
10/20/2016 01:6:9;18200;87088;30268;16037
10/20/2016 01:21:9;18200;87662;31382;16140
10/20/2016 01:36:9;18390;87229;29740;16250
10/20/2016 01:51:9;18152;86788;29365;15936
10/20/2016 02:6:9;17986;87539;30748;15907
10/20/2016 02:21:9;17677;87631;30646;15619
10/20/2016 02:36:9;17463;88314;31433;15529
10/20/2016 02:51:9;17510;88797;31893;15662
10/20/2016 03:6:9;17677;89025;31970;15866
10/20/2016 03:21:9;17701;88961;31919;15878
10/20/2016 03:36:9;17701;88820;31816;15853
10/20/2016 03:51:9;17748;88643;31689;15869
10/20/2016 04:6:9;17701;88254;31052;15753
10/20/2016 04:21:9;17677;88390;31281;15754
10/20/2016 04:36:9;17701;88702;31893;15833
10/20/2016 04:51:9;17605;89031;32150;15797
10/20/2016 05:6:9;17653;89371;32227;15903
10/20/2016 05:21:9;17843;89418;32201;16099
10/20/2016 05:36:9;17986;88890;31944;16147
10/20/2016 05:51:9;18509;88022;30950;16509
10/20/2016 06:6:9;18985;86283;28072;16663
10/20/2016 06:21:9;19413;84544;27014;16763
10/20/2016 06:36:9;20531;79515;24847;16888
10/20/2016 06:51:9;20531;79099;25016;16805
10/20/2016 07:6:9;21867;73456;25404;16930
10/20/2016 07:21:9;21700;72129;26182;16482
10/20/2016 07:36:9;23448;66409;27382;16852
10/20/2016 07:51:9;23713;65347;27604;16849
10/20/2016 08:6:9;24532;63064;28023;17063
10/20/2016 08:21:9;25671;58677;28816;16995
10/20/2016 08:36:9;26524;54884;29340;16735
10/20/2016 08:51:9;26989;54918;29439;17177
10/20/2016 09:6:9;26134;55864;29040;16651
10/20/2016 09:21:9;28320;49713;30495;16830
10/20/2016 09:36:9;30091;45906;31637;17187
10/20/2016 09:51:9;31255;41300;32381;16566
10/20/2016 10:6:9;31484;41632;32717;16898
10/20/2016 10:21:9;31433;40494;32536;16415
10/20/2016 10:36:9;31637;41717;32742;17067
10/20/2016 10:51:9;33079;37288;33626;16578
10/20/2016 11:6:9;34360;34328;34360;16401
10/20/2016 11:21:9;32949;36643;33548;16189
10/20/2016 11:36:9;37563;31722;36389;17933
10/20/2016 11:51:9;35689;32507;35128;16699
10/20/2016 12:6:9;31689;38305;32691;15770
10/20/2016 12:21:9;37370;28262;36308;15944
10/20/2016 12:36:9;35288;31026;34863;15620
10/20/2016 12:51:9;33365;34453;33730;15588
10/20/2016 13:6:9;38728;26806;37124;16265
10/20/2016 13:21:9;40429;24676;38254;16393
10/20/2016 13:36:9;39601;24620;37590;15666
10/20/2016 13:51:9;32021;34969;32820;14644
10/20/2016 14:6:9;32098;35224;32872;14824
10/20/2016 14:21:9;32587;33636;33209;14536
10/20/2016 14:36:9;37976;26975;36661;15728
10/20/2016 14:51:9;37178;27213;36146;15190
10/20/2016 15:6:9;35102;29336;34704;14588
10/20/2016 15:21:9;36769;27627;35931;15078
10/20/2016 15:36:9;36092;27355;35422;14350
10/20/2016 15:51:9;35850;28074;35235;14546
10/20/2016 16:6:9;34624;29518;34519;14275
10/20/2016 16:21:9;33027;31453;33600;13881
10/20/2016 16:36:9;31816;34738;32717;14362
10/20/2016 16:51:9;29490;41726;31204;15145
10/20/2016 17:6:9;27456;53080;29941;17070
10/20/2016 17:21:9;25453;60627;28593;17307
10/20/2016 17:36:9;24677;64038;28270;17443
10/20/2016 17:51:9;23881;68589;27825;17776
10/20/2016 18:6:9;23136;71061;27186;17625
10/20/2016 18:21:9;22585;73595;26818;17651
10/20/2016 18:36:9;22058;75536;26280;17556
10/20/2016 18:51:9;21891;75826;26134;17455
10/20/2016 19:6:9;21700;77100;25939;17535
10/20/2016 19:21:9;21437;78766;25768;17619
10/20/2016 19:36:9;21246;78883;25671;17457
10/20/2016 19:51:9;20913;80271;25647;17409
10/20/2016 20:6:9;20770;80653;25695;17345
10/20/2016 20:21:9;20650;81424;25890;17379
10/20/2016 20:36:9;20579;81893;25963;17400
10/20/2016 20:51:9;20650;81935;26207;17478
10/20/2016 21:6:9;20484;82355;26256;17397
10/20/2016 21:21:9;20293;82895;26353;17314
10/20/2016 21:36:9;20317;82648;26158;17290
10/20/2016 21:51:9;20293;82895;26207;17314
10/20/2016 22:6:9;20222;82677;26231;17202
10/20/2016 22:21:9;20103;83154;26475;17177
10/20/2016 22:36:9;20055;83570;26867;17209
10/20/2016 22:51:9;19912;83788;26989;17110
10/20/2016 23:6:9;19817;84315;27727;17116
10/20/2016 23:21:9;19817;84587;27998;17167
10/20/2016 23:36:9;19817;84687;27974;17186
10/20/2016 23:51:9;19841;84692;28097;17210
10/21/2016 00:6:9;19793;84953;28394;17212
10/21/2016 00:21:9;19793;84953;28419;17212
10/21/2016 00:36:9;19746;84917;27850;17159
10/21/2016 00:51:9;19318;85213;28444;16794
10/21/2016 01:6:9;19056;86325;30192;16741
10/21/2016 01:21:9;19032;86876;30722;16818
10/21/2016 01:36:9;19080;87441;31281;16967
10/21/2016 01:51:9;19127;87308;30925;16990
10/21/2016 02:6:9;19080;87201;30167;16924
10/21/2016 02:21:9;19080;86887;29991;16867
10/21/2016 02:36:9;19080;86451;28916;16787
10/21/2016 02:51:9;19127;85512;28023;16662
10/21/2016 03:6:9;19175;85425;28245;16693
10/21/2016 03:21:9;19151;85420;28419;16668
10/21/2016 03:36:9;19222;85681;28642;16787
10/21/2016 03:51:9;19199;86090;29340;16838
10/21/2016 04:6:9;19222;85877;28667;16822
10/21/2016 04:21:9;19127;85243;28048;16612
10/21/2016 04:36:9;18628;86345;31103;16324
10/21/2016 04:51:9;18533;87239;31893;16392
10/21/2016 05:6:9;18580;87610;31740;16506
10/21/2016 05:21:9;18771;87703;31689;16710
10/21/2016 05:36:9;19008;87520;31128;16911
10/21/2016 05:51:9;19484;86547;28617;17203
10/21/2016 06:6:9;19722;84887;26940;17130
10/21/2016 06:21:9;20007;83434;26158;17137
10/21/2016 06:36:9;20126;83135;26304;17196
10/21/2016 06:51:9;20650;80962;25598;17289
10/21/2016 07:6:9;21151;78627;25307;17313
10/21/2016 07:21:9;21676;76935;25550;17478
10/21/2016 07:36:9;22441;74498;26061;17707
10/21/2016 07:51:9;23424;71030;27407;17895
10/21/2016 08:6:9;25404;64720;28667;18300
10/21/2016 08:21:9;25939;62364;29065;18214
10/21/2016 08:36:9;27382;58255;29865;18481
